Allocation Subcategory,City,College,Gift Allocation,Gift Amount,Gift Date,Major,Prospect ID,State,Year,Month,Quarter,Weekday,Weekend,Donation Category
Faculty Chair Endowments,Los Angeles,College of Engineering,Endowment,9725.0,2010-02-25,Applied Engineering Sciences,1124,CA,2010,February,1,Thursday,No,VIP
University Libraries,Orlando,College of Business,Campus Resource,41.0,2010-12-03,Accounting,1125,FL,2010,December,4,Friday,No,Small
Trustees Fund,Dallas,College of Natural Science,Endowment,3349.0,2010-11-04,Chemistry,1126,TX,2010,November,4,Thursday,No,Premium
University Libraries,Los Angeles,College of Natural Science,Campus Resource,2879.0,2010-03-06,Biochemistry and Molecular Biology/Biotechnology,1127,CA,2010,March,1,Saturday,Yes,Premium
Parents Association,Chicago,College of Business,Campus Resource,4065.0,2010-02-03,Accounting,1128,IL,2010,February,1,Wednesday,No,Premium
Campus Recreation,Overland Park,College of Political Science,Campus Resource,714.0,2010-04-13,Social Relations and Policy,1129,KS,2010,April,2,Tuesday,No,Large
College of Business,Dallas,College of Business,Scholarship,6051.0,2010-02-21,Human Resource Management,1130,TX,2010,February,1,Sunday,Yes,VIP
College of Business,San Francisco,College of Engineering,Scholarship,2119.0,2010-04-14,Environmental Engineering,1131,CA,2010,April,2,Wednesday,No,Premium
In-State Scholarship Fund,Alexandria,College of Arts and Sciences,Scholarship,1563.0,2010-05-16,Chinese,1132,VA,2010,May,2,Sunday,Yes,Premium
Diversity Fund,Baton Rouge,College of Arts and Sciences,Endowment,6182.0,2010-09-21,Arabic,1133,LA,2010,September,3,Tuesday,No,VIP
College of Arts and Sciences,Providence,College of Social Science,Scholarship,9292.0,2010-12-25,Political Science-Prelaw,1134,RI,2010,December,4,Saturday,Yes,VIP
College of Arts and Sciences,St. Louis,College of Natural Science,Scholarship,4976.0,2010-06-05,Human Biology,1135,MO,2010,June,2,Saturday,Yes,Premium
University Annual Fund,St. Louis,College of Natural Science,Endowment,9717.0,2013-10-12,Human Biology,1135,MO,2013,October,4,Saturday,Yes,VIP
Diversity Fund,New York,College of Agriculture and Natural Resources,Endowment,9079.0,2010-11-13,Natural Resource Recreation and Tourism,1136,NY,2010,November,4,Saturday,Yes,VIP
Athletics,New York,College of Agriculture and Natural Resources,Campus Resource,4240.0,2013-06-21,Natural Resource Recreation and Tourism,1136,NY,2013,June,2,Friday,No,Premium
College of Nursing,New York,College of Business,Scholarship,6155.0,2010-01-13,Hospitality Business,1137,NY,2010,January,1,Wednesday,No,VIP
College of Nursing,New York,College of Business,Scholarship,600.0,2013-05-01,Hospitality Business,1137,NY,2013,May,2,Wednesday,No,Large
College of Nursing,Denver,College of Music,Scholarship,5217.0,2010-12-17,Composition,1138,CO,2010,December,4,Friday,No,VIP
College of Engineering,Denver,College of Music,Scholarship,3621.0,2013-08-01,Composition,1138,CO,2013,August,3,Thursday,No,Premium
University Annual Fund,Hartford,College of Social Science,Endowment,243.0,2010-05-26,Criminal Justice,1139,CT,2010,May,2,Wednesday,No,Medium
Campus Museums,Hartford,College of Social Science,Campus Resource,7188.0,2013-12-27,Criminal Justice,1139,CT,2013,December,4,Friday,No,VIP
Campus Museums,Lincoln,College of Agriculture and Natural Resources,Campus Resource,8941.0,2010-10-03,Entomology,1140,NE,2010,October,4,Sunday,Yes,VIP
University Annual Fund,Lincoln,College of Agriculture and Natural Resources,Endowment,7547.0,2013-01-19,Entomology,1140,NE,2013,January,1,Saturday,Yes,VIP
Faculty Chair Endowments,New York,College of Political Science,Endowment,7641.0,2010-03-13,Social Relations and Policy,1141,NY,2010,March,1,Saturday,Yes,VIP
Athletics,New York,College of Political Science,Campus Resource,4894.0,2013-04-03,Social Relations and Policy,1141,NY,2013,April,2,Wednesday,No,Premium
College of Social Science,Dallas,College of Natural Science,Scholarship,383.0,2010-06-22,Biochemistry and Molecular Biology,1142,TX,2010,June,2,Tuesday,No,Medium
University Annual Fund,Dallas,College of Natural Science,Endowment,2646.0,2013-05-12,Biochemistry and Molecular Biology,1142,TX,2013,May,2,Sunday,Yes,Premium
College of Natural Science,Philadelphia,College of Veterinary Medicine,Scholarship,8816.0,2010-07-03,Preveterinary,1143,PA,2010,July,3,Saturday,Yes,VIP
College of Natural Science,Philadelphia,College of Veterinary Medicine,Scholarship,2468.0,2013-10-09,Preveterinary,1143,PA,2013,October,4,Wednesday,No,Premium
College of Social Science,Philadelphia,College of Natural Science,Scholarship,5453.0,2010-08-06,Human Biology,1144,PA,2010,August,3,Friday,No,VIP
Faculty Chair Endowments,Philadelphia,College of Natural Science,Endowment,6148.0,2013-10-18,Human Biology,1144,PA,2013,October,4,Friday,No,VIP
Faculty Chair Endowments,Little Rock,College of Nursing,Endowment,7610.0,2010-09-15,Summer Research Program,1145,AR,2010,September,3,Wednesday,No,VIP
Trustees Fund,Little Rock,College of Nursing,Endowment,7315.0,2013-12-28,Summer Research Program,1145,AR,2013,December,4,Saturday,Yes,VIP
Alumni Association,Henderson,College of Music,Campus Resource,995.0,2010-10-06,Composition,1146,NV,2010,October,4,Wednesday,No,Large
College of Arts and Sciences,Henderson,College of Music,Scholarship,4217.0,2013-10-23,Composition,1146,NV,2013,October,4,Wednesday,No,Premium
University Libraries,Los Angeles,College of Social Science,Campus Resource,6997.0,2010-10-28,Criminal Justice,1147,CA,2010,October,4,Thursday,No,VIP
Faculty Chair Endowments,Los Angeles,College of Social Science,Endowment,4745.0,2013-12-01,Criminal Justice,1147,CA,2013,December,4,Sunday,Yes,Premium
University Annual Fund,New York,College of Music,Endowment,7944.0,2010-01-07,Composition,1148,NY,2010,January,1,Thursday,No,VIP
Trustees Fund,New York,College of Music,Endowment,1001.0,2013-01-31,Composition,1148,NY,2013,January,1,Thursday,No,Premium
Athletics,Jacksonville,College of Natural Science,Campus Resource,2245.0,2010-10-02,Environmental Geosciences,1149,FL,2010,October,4,Saturday,Yes,Premium
Diversity Fund,Jacksonville,College of Natural Science,Endowment,8078.0,2013-07-04,Environmental Geosciences,1149,FL,2013,July,3,Thursday,No,VIP
University Libraries,Phoenix,College of Natural Science,Campus Resource,167.0,2010-11-18,Preoptometry,1150,AZ,2010,November,4,Thursday,No,Medium
Honors Program,Phoenix,College of Natural Science,Campus Resource,3496.0,2013-07-01,Preoptometry,1150,AZ,2013,July,3,Monday,No,Premium
College of Business,Denver,College of Natural Science,Scholarship,2695.5,2010-12-22,Neuroscience,1151,CO,2010,December,4,Wednesday,No,Premium
Minority Scholarship Fund,Denver,College of Natural Science,Scholarship,13440.0,2013-05-13,Neuroscience,1151,CO,2013,May,2,Monday,No,VIP
Faculty Chair Endowments,St. Louis,College of Arts and Sciences,Endowment,2402.0,2010-09-25,Humanities-Prelaw,1152,MO,2010,September,3,Saturday,Yes,Premium
College of Agriculture and Natural Resources,St. Louis,College of Arts and Sciences,Scholarship,1858.0,2013-12-31,Humanities-Prelaw,1152,MO,2013,December,4,Tuesday,No,Premium
College of Natural Science,Denver,College of Social Science,Scholarship,11896.5,2010-08-27,Anthropology,1153,CO,2010,August,3,Friday,No,VIP
Minority Scholarship Fund,Denver,College of Social Science,Scholarship,10828.5,2013-09-11,Anthropology,1153,CO,2013,September,3,Wednesday,No,VIP
College of Arts and Sciences,Las Vegas,College of Engineering,Scholarship,6400.0,2010-03-15,Computer Science,1154,NV,2010,March,1,Monday,No,VIP
University Annual Fund,Las Vegas,College of Engineering,Endowment,9640.0,2013-10-02,Computer Science,1154,NV,2013,October,4,Wednesday,No,VIP
College of Natural Science,Chicago,College of Education,Scholarship,9332.0,2010-04-15,Kinesiology,1155,IL,2010,April,2,Thursday,No,VIP
College of Political Science,Chicago,College of Education,Scholarship,9532.0,2013-01-08,Kinesiology,1155,IL,2013,January,1,Tuesday,No,VIP
University Annual Fund,Madison,College of Natural Science,Endowment,8426.0,2010-05-11,Environmental Biology/Plant Biol,1156,WI,2010,May,2,Tuesday,No,VIP
University Annual Fund,Madison,College of Natural Science,Endowment,5109.0,2013-12-30,Environmental Biology/Plant Biol,1156,WI,2013,December,4,Monday,No,VIP
Trustees Fund,Grand Rapids,College of Communication Arts and Sciences,Endowment,6248.0,2010-10-12,Media and Information,1157,MI,2010,October,4,Tuesday,No,VIP
Alumni Association,Grand Rapids,College of Communication Arts and Sciences,Campus Resource,7242.0,2013-07-15,Media and Information,1157,MI,2013,July,3,Monday,No,VIP
College of Agriculture and Natural Resources,Denver,College of Agriculture and Natural Resources,Scholarship,7860.0,2010-05-10,Landscape Architecture,1158,CO,2010,May,2,Monday,No,VIP
College of Agriculture and Natural Resources,Denver,College of Agriculture and Natural Resources,Scholarship,2796.0,2013-10-11,Landscape Architecture,1158,CO,2013,October,4,Friday,No,Premium
University Libraries,Boston,College of Music,Campus Resource,6246.0,2010-05-10,Composition,1159,MA,2010,May,2,Monday,No,VIP
College of Music,Mobile,College of Business,Scholarship,6345.0,2010-07-17,Human Resource Management,1160,AL,2010,July,3,Saturday,Yes,VIP
College of Music,Kansas City,College of Business,Scholarship,8298.0,2010-10-27,Finance,1161,MO,2010,October,4,Wednesday,No,VIP
College of Agriculture and Natural Resources,Detroit,College of Agriculture and Natural Resources,Scholarship,3403.0,2010-03-14,Horticulture,1162,MI,2010,March,1,Sunday,Yes,Premium
Parents Association,Denver,College of Engineering,Campus Resource,5797.5,2010-12-12,Mechanical Engineering,1163,CO,2010,December,4,Sunday,Yes,VIP
College of Agriculture and Natural Resources,Chicago,College of Arts and Sciences,Scholarship,960.0,2010-12-04,Interdisciplinary Humanities,1164,IL,2010,December,4,Saturday,Yes,Large
Diversity Fund,Scottsdale,College of Education,Endowment,2679.0,2010-05-22,Education,1165,AZ,2010,May,2,Saturday,Yes,Premium
Trustees Fund,Hartford,College of Arts and Sciences,Endowment,7746.0,2010-02-23,Theatre,1166,CT,2010,February,1,Tuesday,No,VIP
College of Music,Hartford,College of Arts and Sciences,Scholarship,999.0,2013-01-24,Theatre,1166,CT,2013,January,1,Thursday,No,Large
College of Arts and Sciences,Memphis,College of Natural Science,Scholarship,5494.0,2010-01-03,Statistics,1167,TN,2010,January,1,Sunday,Yes,VIP
College of Arts and Sciences,Memphis,College of Natural Science,Scholarship,9280.0,2013-08-14,Statistics,1167,TN,2013,August,3,Wednesday,No,VIP
College of Agriculture and Natural Resources,Chicago,College of Arts and Sciences,Scholarship,3336.0,2010-07-16,Philosophy,1168,IL,2010,July,3,Friday,No,Premium
Athletics,Chicago,College of Arts and Sciences,Campus Resource,8898.0,2013-12-04,Philosophy,1168,IL,2013,December,4,Wednesday,No,VIP
Campus Museums,Lansing,College of Business,Campus Resource,6361.0,2010-02-23,Accounting,1169,MI,2010,February,1,Tuesday,No,VIP
Trustees Fund,Lansing,College of Business,Endowment,2639.0,2013-02-25,Accounting,1169,MI,2013,February,1,Monday,No,Premium
Diversity Fund,San Diego,College of Arts and Sciences,Endowment,8712.0,2010-11-21,French,1170,CA,2010,November,4,Sunday,Yes,VIP
University Libraries,San Diego,College of Arts and Sciences,Campus Resource,3885.0,2013-01-10,French,1170,CA,2013,January,1,Thursday,No,Premium
University Annual Fund,Orlando,College of Agriculture and Natural Resources,Endowment,8939.0,2010-01-13,Fisheries and Wildlife,1171,FL,2010,January,1,Wednesday,No,VIP
Alumni Association,Orlando,College of Agriculture and Natural Resources,Campus Resource,9864.0,2013-06-07,Fisheries and Wildlife,1171,FL,2013,June,2,Friday,No,VIP
Honors Program,Nashville,College of Education,Campus Resource,554.0,2010-09-07,Education,1172,TN,2010,September,3,Tuesday,No,Large
Honors Program,Nashville,College of Education,Campus Resource,3478.0,2013-11-26,Education,1172,TN,2013,November,4,Tuesday,No,Premium
College of Arts and Sciences,Denver,College of Natural Science,Scholarship,12888.0,2010-07-17,Preoptometry,1173,CO,2010,July,3,Saturday,Yes,VIP
College of Social Science,Denver,College of Natural Science,Scholarship,4096.5,2013-06-19,Preoptometry,1173,CO,2013,June,2,Wednesday,No,Premium
Trustees Fund,Cincinnati,College of Communication Arts and Sciences,Endowment,1778.0,2010-11-26,Journalism,1174,OH,2010,November,4,Friday,No,Premium
Faculty Chair Endowments,Cincinnati,College of Communication Arts and Sciences,Endowment,4988.0,2013-08-12,Journalism,1174,OH,2013,August,3,Monday,No,Premium
Faculty Chair Endowments,Los Angeles,College of Arts and Sciences,Endowment,8893.0,2010-11-26,Arabic,1175,CA,2010,November,4,Friday,No,VIP
University Annual Fund,Los Angeles,College of Arts and Sciences,Endowment,9804.0,2013-03-30,Arabic,1175,CA,2013,March,1,Saturday,Yes,VIP
Trustees Fund,Atlanta,College of Political Science,Endowment,5188.0,2010-10-04,College of Political Science,1176,GA,2010,October,4,Monday,No,VIP
College of Arts and Sciences,Atlanta,College of Political Science,Scholarship,2963.0,2013-05-16,College of Political Science,1176,GA,2013,May,2,Thursday,No,Premium
Alumni Association,New York,College of Education,Campus Resource,4743.0,2010-08-24,Education,1177,NY,2010,August,3,Tuesday,No,Premium
Minority Scholarship Fund,New York,College of Education,Scholarship,3392.0,2013-08-27,Education,1177,NY,2013,August,3,Tuesday,No,Premium
College of Political Science,Denver,College of Political Science,Scholarship,4168.5,2010-04-07,Social Relations and Policy,1178,CO,2010,April,2,Wednesday,No,Premium
College of Political Science,Denver,College of Political Science,Scholarship,5689.5,2013-05-11,Social Relations and Policy,1178,CO,2013,May,2,Saturday,Yes,VIP
College of Natural Science,Memphis,College of Social Science,Scholarship,7391.0,2010-05-07,Public Policy,1179,TN,2010,May,2,Friday,No,VIP
Diversity Fund,Memphis,College of Social Science,Endowment,2952.0,2013-06-22,Public Policy,1179,TN,2013,June,2,Saturday,Yes,Premium
Diversity Fund,Raleigh,College of Natural Science,Endowment,1620.0,2010-07-25,Biochemistry and Molecular Biology,1180,NC,2010,July,3,Sunday,Yes,Premium
College of Communication Arts and Sciences,Raleigh,College of Natural Science,Scholarship,2872.0,2013-11-12,Biochemistry and Molecular Biology,1180,NC,2013,November,4,Tuesday,No,Premium
College of Communication Arts and Sciences,Memphis,College of Business,Scholarship,9783.0,2010-08-14,Supply Chain Management,1181,TN,2010,August,3,Saturday,Yes,VIP
College of Natural Science,Memphis,College of Business,Scholarship,2022.0,2013-03-27,Supply Chain Management,1181,TN,2013,March,1,Wednesday,No,Premium
Campus Museums,Los Angeles,College of Social Science,Campus Resource,3804.0,2010-03-21,Economics,1182,CA,2010,March,1,Sunday,Yes,Premium
College of Agriculture and Natural Resources,Los Angeles,College of Social Science,Scholarship,173.0,2013-02-27,Economics,1182,CA,2013,February,1,Wednesday,No,Medium
College of Agriculture and Natural Resources,San Diego,College of Arts and Sciences,Scholarship,4948.0,2010-09-22,Arabic,1183,CA,2010,September,3,Wednesday,No,Premium
College of Social Science,San Diego,College of Arts and Sciences,Scholarship,681.0,2013-02-16,Arabic,1183,CA,2013,February,1,Saturday,Yes,Large
Trustees Fund,Grand Rapids,College of Music,Endowment,5040.0,2010-08-09,Jazz Studies,1184,MI,2010,August,3,Monday,No,VIP
University Libraries,Grand Rapids,College of Music,Campus Resource,6862.0,2013-04-28,Jazz Studies,1184,MI,2013,April,2,Sunday,Yes,VIP
University Annual Fund,Houston,College of Natural Science,Endowment,9725.0,2010-11-01,Plant Biology,1185,TX,2010,November,4,Monday,No,VIP
Trustees Fund,Houston,College of Natural Science,Endowment,784.0,2013-03-06,Plant Biology,1185,TX,2013,March,1,Wednesday,No,Large
Diversity Fund,San Antonio,College of Business,Endowment,5550.0,2010-10-23,Human Resource Management,1186,TX,2010,October,4,Saturday,Yes,VIP
Parents Association,San Antonio,College of Business,Campus Resource,5619.0,2013-08-05,Human Resource Management,1186,TX,2013,August,3,Monday,No,VIP
Campus Museums,Denver,College of Nursing,Campus Resource,696.0,2010-04-06,Nursing,1187,CO,2010,April,2,Tuesday,No,Large
Faculty Chair Endowments,Denver,College of Nursing,Endowment,8529.0,2013-05-25,Nursing,1187,CO,2013,May,2,Saturday,Yes,VIP
College of Arts and Sciences,Los Angeles,College of Arts and Sciences,Scholarship,1198.0,2010-06-12,Art Education,1188,CA,2010,June,2,Saturday,Yes,Premium
